"Source:","C:\Users\Ben\Documents\GitHub\Attenuator_Controller_Board\KiCAD\Attenuator Controller Board\Attenuator Controller Board.sch"
"Date:","1/17/2022 8:19:35 PM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","D:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Part #"
"","","BZ1","CPT-2016-75-SMT-TR","Attenuator-Controller-Board-rescue:CPT-2016-75-SMT-TR-Custom_parts-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue","Custom Footprints:SMT-0940-T-3V-R_9x9_alarm","https://media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/SMT_09_Series_DS.pdf","PUI Audio, Inc.","SMT-0940-T-3V-R"
"","","C1","10µF","Device:C_Small","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden","LWK212BJ106MD-T"
"","","C2","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C3","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C4","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C5","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C6","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C7","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C8","10µF","Device:C_Small","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden","LWK212BJ106MD-T"
"","","C9","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","C10","10µF","Device:C_Small","Custom Footprints:0508_Capacitor","https://www.digikey.com/en/products/detail/taiyo-yuden/LWK212BJ106MD-T/2763363","Taiyo Yuden","LWK212BJ106MD-T"
"","","C11","0.1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KB8NNNL/3894274","Samsung Electro-Mechanics","CL10B104KB8NNNL"
"","","D1","BAT54BRW","Attenuator-Controller-Board-rescue:BAT54BRW-Custom_parts-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/ds30152.pdf","Diodes Incorporated","BAT54BRW-7-F"
"","","D2","D_Schottky","Device:D_Schottky","Custom Footprints:DO-214BA","https://media.digikey.com/pdf/Data%20Sheets/Microsemi%20PDFs/LSM115J.pdf","Microchip Technology","LSM115JE3/TR13"
"","","H1","MountingHole","Mechanical:MountingHole_Pad","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware","4689-2520-S-12"
"","","H2","MountingHole","Mechanical:MountingHole_Pad","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware","4689-2520-S-12"
"","","H3","MountingHole","Mechanical:MountingHole_Pad","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware","4689-2520-S-12"
"","","H4","MountingHole","Mechanical:MountingHole_Pad","Custom Footprints:1_4-20_Clearance_hole","http://dpk3n3gg92jwt.cloudfront.net/domains/raf/pdf/RAF%20Catalog.pdf","RAF Electronic Hardware","4689-2520-S-12"
"","","J1","Barrel_Jack_Switch","Connector:Barrel_Jack_Switch","Custom Footprints:DC-jack_54-00165","https://tensility.s3-us-west-2.amazonaws.com/uploads/product_doc/document/4054/54-00165.pdf","Tensility International Corp","54-00165"
"","","J2","Conn_Coaxial","Connector:Conn_Coaxial","Custom Footprints:112640","https://s3-us-west-2.amazonaws.com/catsy.582/C112640.pdf","Amphenol RF","112640"
"","","J3","Conn_Coaxial","Connector:Conn_Coaxial","Custom Footprints:112640","https://s3-us-west-2.amazonaws.com/catsy.582/C112640.pdf","Amphenol RF","112640"
"","","J4","Conn_01x24_Female",":Conn_01x24_Female-Custom_parts-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue","Custom Footprints:Ref_only","https://www.samtec.com/partnumber/ssm-124-l-sv-lc?vendor=digikey","Samtec Inc.","SSM-124-L-SV-LC"
"","","J5","Conn_01x24_Female",":Conn_01x24_Female-Custom_parts-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue","Custom Footprints:Ref_only","https://www.samtec.com/partnumber/ssm-124-l-sv-lc?vendor=digikey","Samtec Inc.","SSM-124-L-SV-LC"
"","","J6","DSub9","Custom_parts:K202XHT-E9P-N","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.","K202XHT-E9P-N"
"","","J7","DSub9","Custom_parts:K202XHT-E9P-N","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.","K202XHT-E9P-N"
"","","J8","DSub9","Custom_parts:K202XHT-E9P-N","Custom Footprints:K202XHT-E9P-N","http://www.kycon.com/Pub_Eng_Draw/K202XHT-E9P-N.pdf","Kycon, Inc.","K202XHT-E9P-N"
"","","J9","DSub_15_HD","Custom_parts:DSub_15_HD_-_200-015-263R001","Custom Footprints:200-015-263R001","https://content.norcomp.net/rohspdfs/Connectors/2YY/200-015-263R001.pdf","NorComp Inc.","200-015-263R001"
"","","JP1","Jumper_NC_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"","","JP2","Jumper_NC_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"","","JP3","Jumper_NC_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"","","JP4","Jumper_NC_Small","Device:Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","",""
"","","LOGO1","CC license","Graphic:Logo_Open_Hardware_Small","Custom Footprints:Creative_commons_license","~","",""
"","","LOGO2","Jack Polarity","Graphic:Logo_Open_Hardware_Small","Custom Footprints:Polarity_Center_Positive","~","",""
"","","LOGO3","OSHW Logo","Graphic:Logo_Open_Hardware_Small","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","~","",""
"","","RN1","4.7k","Device:R_Pack04_Split","Resistor_SMD:R_Array_Convex_4x1206","https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf","Panasonic Electronic Components","EXB-38V472JV"
"","","U1","ADM3307EARUZ",":ADM3307EARU-REEL7-Custom_parts-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue-Attenuator-Controller-Board-rescue","Custom Footprints:ADM3307EARUZ","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM3307E_3310E_3311E_3312E_3315E.pdf","Analog Devices Inc.","ADM3307EARUZ"
